state_code,uf_name,period_name,median_income,unemployment_rate
RO,Rondônia,1º trimestre 2026,3412,0.037000000000000005
AC,Acre,1º trimestre 2026,2817,0.08199999999999999
AM,Amazonas,1º trimestre 2026,2705,0.083
RR,Roraima,1º trimestre 2026,3378,0.057
PA,Pará,1º trimestre 2026,2449,0.07
AP,Amapá,1º trimestre 2026,3333,0.1
TO,Tocantins,1º trimestre 2026,3173,0.055999999999999994
MA,Maranhão,1º trimestre 2026,2177,0.069
PI,Piauí,1º trimestre 2026,2444,0.08900000000000001
CE,Ceará,1º trimestre 2026,2481,0.073
RN,Rio Grande do Norte,1º trimestre 2026,2815,0.076
PB,Paraíba,1º trimestre 2026,2641,0.07
PE,Pernambuco,1º trimestre 2026,2711,0.092
AL,Alagoas,1º trimestre 2026,2419,0.092
SE,Sergipe,1º trimestre 2026,2853,0.086
BA,Bahia,1º trimestre 2026,2402,0.092
MG,Minas Gerais,1º trimestre 2026,3347,0.05
ES,Espírito Santo,1º trimestre 2026,3571,0.032
RJ,Rio de Janeiro,1º trimestre 2026,4204,0.073
SP,São Paulo,1º trimestre 2026,4270,0.06
PR,Paraná,1º trimestre 2026,4055,0.035
SC,Santa Catarina,1º trimestre 2026,4232,0.027000000000000003
RS,Rio Grande do Sul,1º trimestre 2026,3992,0.04
MS,Mato Grosso do Sul,1º trimestre 2026,3658,0.038
MT,Mato Grosso,1º trimestre 2026,3855,0.031
GO,Goiás,1º trimestre 2026,3771,0.051
DF,Distrito Federal,1º trimestre 2026,6464,0.071
