state_code,median_income,median_rent,affordability_index
SP,3200,1350,2.37
RJ,2900,1200,2.42
MG,2100,950,2.21
RS,2800,1100,2.55
PR,2600,1050,2.48
SC,3000,1150,2.61
BA,1600,800,2.0
PE,1750,850,2.06
CE,1800,780,2.31
DF,3800,1450,2.62
GO,2200,920,2.39
ES,2400,960,2.5
MS,2300,900,2.56
MT,2100,850,2.47
PA,1700,750,2.27
AM,2000,880,2.27
MA,1450,650,2.23
PB,1550,700,2.21
PI,1500,680,2.21
RN,1650,720,2.29
AL,1400,680,2.06
SE,1500,700,2.14
TO,1800,780,2.31
RO,1900,800,2.38
AC,1600,750,2.13
AP,1700,780,2.18
RR,1800,800,2.25
