month_date,default_rate_90,state_code
2024-01-01,5.25,BR
2024-02-01,5.11,BR
2024-03-01,4.97,BR
2024-04-01,4.89,BR
2024-05-01,4.92,BR
2024-06-01,4.63,BR
2024-07-01,4.72,BR
2024-08-01,4.65,BR
2024-09-01,4.61,BR
2024-10-01,4.53,BR
2024-11-01,4.43,BR
2024-12-01,4.27,BR
2025-01-01,4.46,BR
2025-02-01,4.54,BR
2025-03-01,4.83,BR
2025-04-01,4.99,BR
2025-05-01,5.27,BR
2025-06-01,5.27,BR
2025-07-01,5.41,BR
2025-08-01,5.5,BR
2025-09-01,5.52,BR
2025-10-01,5.52,BR
2025-11-01,5.5,BR
2025-12-01,5.69,BR
2026-01-01,5.69,BR
2026-02-01,5.99,BR
2026-03-01,6.11,BR
2026-04-01,6.24,BR
2026-05-01,6.47,BR
2026-06-01,6.57,BR
