state_code,gini_index,quarter,month_date
11,0.4374,2025Q1,2026-08-01
12,0.4758,2025Q1,2026-08-01
13,0.4759,2025Q1,2026-08-01
14,0.4952,2025Q1,2026-08-01
15,0.5324,2025Q1,2026-08-01
16,0.4642,2025Q1,2026-08-01
17,0.4689,2025Q1,2026-08-01
21,0.4989,2025Q1,2026-08-01
22,0.5843,2025Q1,2026-08-01
23,0.5215,2025Q1,2026-08-01
24,0.5428,2025Q1,2026-08-01
25,0.5468,2025Q1,2026-08-01
26,0.5488,2025Q1,2026-08-01
27,0.5058,2025Q1,2026-08-01
28,0.5247,2025Q1,2026-08-01
29,0.5054,2025Q1,2026-08-01
31,0.461,2025Q1,2026-08-01
32,0.469,2025Q1,2026-08-01
33,0.5363,2025Q1,2026-08-01
35,0.4927,2025Q1,2026-08-01
41,0.4573,2025Q1,2026-08-01
42,0.4204,2025Q1,2026-08-01
43,0.4703,2025Q1,2026-08-01
50,0.451,2025Q1,2026-08-01
51,0.4355,2025Q1,2026-08-01
52,0.4458,2025Q1,2026-08-01
53,0.5609,2025Q1,2026-08-01
