state_code,gini_index,month_date,quarter
RO,0.4374,2025-01-01,2025Q1
AC,0.4758,2025-01-01,2025Q1
AM,0.4759,2025-01-01,2025Q1
RR,0.4952,2025-01-01,2025Q1
PA,0.5324,2025-01-01,2025Q1
AP,0.4642,2025-01-01,2025Q1
TO,0.4689,2025-01-01,2025Q1
MA,0.4989,2025-01-01,2025Q1
PI,0.5843,2025-01-01,2025Q1
CE,0.5215,2025-01-01,2025Q1
RN,0.5428,2025-01-01,2025Q1
PB,0.5468,2025-01-01,2025Q1
PE,0.5488,2025-01-01,2025Q1
AL,0.5058,2025-01-01,2025Q1
SE,0.5247,2025-01-01,2025Q1
BA,0.5054,2025-01-01,2025Q1
MG,0.461,2025-01-01,2025Q1
ES,0.469,2025-01-01,2025Q1
RJ,0.5363,2025-01-01,2025Q1
SP,0.4927,2025-01-01,2025Q1
PR,0.4573,2025-01-01,2025Q1
SC,0.4204,2025-01-01,2025Q1
RS,0.4703,2025-01-01,2025Q1
MS,0.451,2025-01-01,2025Q1
MT,0.4355,2025-01-01,2025Q1
GO,0.4458,2025-01-01,2025Q1
DF,0.5609,2025-01-01,2025Q1
