state_code,median_income,quarter,month_date
11,2000.0,2025Q1,2026-08-01
12,1800.0,2025Q1,2026-08-01
13,1800.0,2025Q1,2026-08-01
14,2000.0,2025Q1,2026-08-01
15,1518.0,2025Q1,2026-08-01
16,2000.0,2025Q1,2026-08-01
17,2000.0,2025Q1,2026-08-01
21,1518.0,2025Q1,2026-08-01
22,1518.0,2025Q1,2026-08-01
23,1518.0,2025Q1,2026-08-01
24,1518.0,2025Q1,2026-08-01
25,1518.0,2025Q1,2026-08-01
26,1518.0,2025Q1,2026-08-01
27,1518.0,2025Q1,2026-08-01
28,1529.0,2025Q1,2026-08-01
29,1518.0,2025Q1,2026-08-01
31,2200.0,2025Q1,2026-08-01
32,2400.0,2025Q1,2026-08-01
33,2500.0,2025Q1,2026-08-01
35,2800.0,2025Q1,2026-08-01
41,2800.0,2025Q1,2026-08-01
42,3000.0,2025Q1,2026-08-01
43,2800.0,2025Q1,2026-08-01
50,2800.0,2025Q1,2026-08-01
51,2800.0,2025Q1,2026-08-01
52,2500.0,2025Q1,2026-08-01
53,3000.0,2025Q1,2026-08-01
