state_code,median_income,month_date,quarter
RO,2000.0,2025-01-01,2025Q1
AC,1800.0,2025-01-01,2025Q1
AM,1800.0,2025-01-01,2025Q1
RR,2000.0,2025-01-01,2025Q1
PA,1518.0,2025-01-01,2025Q1
AP,2000.0,2025-01-01,2025Q1
TO,2000.0,2025-01-01,2025Q1
MA,1518.0,2025-01-01,2025Q1
PI,1518.0,2025-01-01,2025Q1
CE,1518.0,2025-01-01,2025Q1
RN,1518.0,2025-01-01,2025Q1
PB,1518.0,2025-01-01,2025Q1
PE,1518.0,2025-01-01,2025Q1
AL,1518.0,2025-01-01,2025Q1
SE,1529.0,2025-01-01,2025Q1
BA,1518.0,2025-01-01,2025Q1
MG,2200.0,2025-01-01,2025Q1
ES,2400.0,2025-01-01,2025Q1
RJ,2500.0,2025-01-01,2025Q1
SP,2800.0,2025-01-01,2025Q1
PR,2800.0,2025-01-01,2025Q1
SC,3000.0,2025-01-01,2025Q1
RS,2800.0,2025-01-01,2025Q1
MS,2800.0,2025-01-01,2025Q1
MT,2800.0,2025-01-01,2025Q1
GO,2500.0,2025-01-01,2025Q1
DF,3000.0,2025-01-01,2025Q1
