state_code,month_date,rent_variation
AC,2026-08-01,9.0
AL,2026-08-01,10.5
AP,2026-08-01,9.0
AM,2026-08-01,10.5
BA,2026-08-01,11.0
CE,2026-08-01,11.5
DF,2026-08-01,8.0
ES,2026-08-01,10.0
GO,2026-08-01,10.0
MA,2026-08-01,10.0
MT,2026-08-01,12.0
MS,2026-08-01,9.5
MG,2026-08-01,10.5
PA,2026-08-01,11.0
PB,2026-08-01,10.0
PR,2026-08-01,8.0
PE,2026-08-01,10.5
PI,2026-08-01,9.5
RJ,2026-08-01,12.0
RN,2026-08-01,10.0
RS,2026-08-01,9.0
RO,2026-08-01,9.0
RR,2026-08-01,9.0
SC,2026-08-01,9.5
SP,2026-08-01,8.5
SE,2026-08-01,9.5
TO,2026-08-01,9.0
