state_code,month_date,default_rate_90
AC,2026-06-30,5.270141442585173
AL,2026-06-30,9.970236429589162
AM,2026-06-30,8.074640132454235
AP,2026-06-30,6.24984937011479
BA,2026-06-30,7.357389603730917
CE,2026-06-30,6.550062329042736
DF,2026-06-30,5.248816913648997
ES,2026-06-30,4.9939252597965424
GO,2026-06-30,6.773856585588764
MA,2026-06-30,6.746155896221979
MG,2026-06-30,5.977994228227698
MS,2026-06-30,6.600897649533344
MT,2026-06-30,5.756939742552935
PA,2026-06-30,8.196559273171255
PB,2026-06-30,6.148554390038687
PE,2026-06-30,7.386096062067726
PI,2026-06-30,7.266142431897767
PR,2026-06-30,6.052344965232401
RJ,2026-06-30,10.527816083623943
RN,2026-06-30,6.127955179653165
RO,2026-06-30,5.908169663652532
RR,2026-06-30,7.1247086770782495
RS,2026-06-30,6.895861221658165
SC,2026-06-30,5.982831763581908
SE,2026-06-30,7.600491775270983
SP,2026-06-30,6.070994830548349
TO,2026-06-30,6.054722041116905
