state_code,unemployment_rate,quarter,month_date
11,3.09,2025Q1,2026-08-01
12,8.16,2025Q1,2026-08-01
13,10.05,2025Q1,2026-08-01
14,7.48,2025Q1,2026-08-01
15,8.72,2025Q1,2026-08-01
16,8.61,2025Q1,2026-08-01
17,6.39,2025Q1,2026-08-01
21,8.13,2025Q1,2026-08-01
22,10.19,2025Q1,2026-08-01
23,8.0,2025Q1,2026-08-01
24,9.94,2025Q1,2026-08-01
25,8.69,2025Q1,2026-08-01
26,11.59,2025Q1,2026-08-01
27,8.99,2025Q1,2026-08-01
28,9.33,2025Q1,2026-08-01
29,11.05,2025Q1,2026-08-01
31,5.71,2025Q1,2026-08-01
32,4.0,2025Q1,2026-08-01
33,9.34,2025Q1,2026-08-01
35,6.26,2025Q1,2026-08-01
41,3.98,2025Q1,2026-08-01
42,3.04,2025Q1,2026-08-01
43,5.26,2025Q1,2026-08-01
50,3.98,2025Q1,2026-08-01
51,3.51,2025Q1,2026-08-01
52,5.32,2025Q1,2026-08-01
53,9.17,2025Q1,2026-08-01
