state_code,unemployment_rate,month_date,quarter
RO,2.9,2025-01-01,2025Q1
AC,7.96,2025-01-01,2025Q1
AM,8.78,2025-01-01,2025Q1
RR,7.42,2025-01-01,2025Q1
PA,8.25,2025-01-01,2025Q1
AP,9.36,2025-01-01,2025Q1
TO,5.75,2025-01-01,2025Q1
MA,7.91,2025-01-01,2025Q1
PI,10.66,2025-01-01,2025Q1
CE,7.92,2025-01-01,2025Q1
RN,9.35,2025-01-01,2025Q1
PB,8.36,2025-01-01,2025Q1
PE,12.19,2025-01-01,2025Q1
AL,9.14,2025-01-01,2025Q1
SE,8.97,2025-01-01,2025Q1
BA,11.31,2025-01-01,2025Q1
MG,5.34,2025-01-01,2025Q1
ES,3.8,2025-01-01,2025Q1
RJ,9.27,2025-01-01,2025Q1
SP,5.99,2025-01-01,2025Q1
PR,3.8,2025-01-01,2025Q1
SC,2.94,2025-01-01,2025Q1
RS,4.71,2025-01-01,2025Q1
MS,3.82,2025-01-01,2025Q1
MT,3.68,2025-01-01,2025Q1
GO,4.72,2025-01-01,2025Q1
DF,9.25,2025-01-01,2025Q1
