state_code,months_ranked,avg_rank,avg_default_pct,times_in_top_3
AL,446,6443.2,9.54,5
MA,498,6449.4,12.23,19
PE,532,6474.6,11.76,21
RJ,706,6484.7,14.86,52
PA,616,6485.7,10.87,13
BA,654,6496.1,12.68,34
CE,519,6586.5,12.88,27
AP,397,6636.0,12.56,13
PI,457,6657.4,9.56,9
SE,424,6711.7,10.53,10
RN,445,6746.0,10.29,12
PB,476,6822.2,11.12,18
AM,479,6831.4,10.24,8
MS,622,6963.0,10.33,22
GO,767,7004.8,9.47,24
TO,521,7104.7,9.33,19
RS,960,7163.9,9.09,34
SP,986,7164.3,11.74,65
DF,563,7174.3,8.68,11
MT,765,7257.0,8.39,26
RR,415,7277.1,8.16,5
AC,409,7417.9,8.56,10
PR,898,7429.0,7.92,21
MG,967,7482.3,8.1,25
RO,652,7582.8,7.23,7
SC,926,7789.9,5.73,10
ES,649,7880.0,6.37,12
