state_code,observations,avg_default_pct,median_default_pct,min_default_pct,max_default_pct,std_default_pct
RJ,1,10.53,10.53,10.53,10.53,
AL,1,9.97,9.97,9.97,9.97,
PA,1,8.2,8.2,8.2,8.2,
AM,1,8.07,8.07,8.07,8.07,
SE,1,7.6,7.6,7.6,7.6,
PE,1,7.39,7.39,7.39,7.39,
BA,1,7.36,7.36,7.36,7.36,
PI,1,7.27,7.27,7.27,7.27,
RR,1,7.12,7.12,7.12,7.12,
RS,1,6.9,6.9,6.9,6.9,
GO,1,6.77,6.77,6.77,6.77,
MA,1,6.75,6.75,6.75,6.75,
MS,1,6.6,6.6,6.6,6.6,
CE,1,6.55,6.55,6.55,6.55,
AP,1,6.25,6.25,6.25,6.25,
PB,1,6.15,6.15,6.15,6.15,
RN,1,6.13,6.13,6.13,6.13,
SP,1,6.07,6.07,6.07,6.07,
PR,1,6.05,6.05,6.05,6.05,
TO,1,6.05,6.05,6.05,6.05,
SC,1,5.98,5.98,5.98,5.98,
MG,1,5.98,5.98,5.98,5.98,
RO,1,5.91,5.91,5.91,5.91,
MT,1,5.76,5.76,5.76,5.76,
AC,1,5.27,5.27,5.27,5.27,
DF,1,5.25,5.25,5.25,5.25,
ES,1,4.99,4.99,4.99,4.99,
