state_code,avg_default,max_default,min_default,avg_pct_change,trend_direction
AC,5.2701,5.2701,5.2701,,Stable
AL,9.9702,9.9702,9.9702,,Stable
AM,8.0746,8.0746,8.0746,,Stable
AP,6.2498,6.2498,6.2498,,Stable
BA,7.3574,7.3574,7.3574,,Stable
CE,6.5501,6.5501,6.5501,,Stable
DF,5.2488,5.2488,5.2488,,Stable
ES,4.9939,4.9939,4.9939,,Stable
GO,6.7739,6.7739,6.7739,,Stable
MA,6.7462,6.7462,6.7462,,Stable
MG,5.978,5.978,5.978,,Stable
MS,6.6009,6.6009,6.6009,,Stable
MT,5.7569,5.7569,5.7569,,Stable
PA,8.1966,8.1966,8.1966,,Stable
PB,6.1486,6.1486,6.1486,,Stable
PE,7.3861,7.3861,7.3861,,Stable
PI,7.2661,7.2661,7.2661,,Stable
PR,6.0523,6.0523,6.0523,,Stable
RJ,10.5278,10.5278,10.5278,,Stable
RN,6.128,6.128,6.128,,Stable
RO,5.9082,5.9082,5.9082,,Stable
RR,7.1247,7.1247,7.1247,,Stable
RS,6.8959,6.8959,6.8959,,Stable
SC,5.9828,5.9828,5.9828,,Stable
SE,7.6005,7.6005,7.6005,,Stable
SP,6.071,6.071,6.071,,Stable
TO,6.0547,6.0547,6.0547,,Stable
